state,prob,load
c,6.116912532050378e-12,374103.06588388776
c,8.354081315609108e-14,374103.06588388776
c,5.672545766444159e-16,374103.06588388776
c,0,374103.06588388776
c,1.8796351947725914e-05,374103.06588388776
c,6.146873253120265e-07,374103.06588388776
c,1.1375842729399385e-08,374103.06588388776
c,1.744915982537787e-10,374103.06588388776
c,2.1355807747203137e-12,374103.06588388776
c,1.9619722513297688e-14,374103.06588388776
c,0,374103.06588388776
c,0,374103.06588388776
c,1.1149253840393378e-06,374103.06588388776
c,2.0884154711131586e-08,374103.06588388776
c,2.4244638935355667e-10,374103.06588388776
c,2.2397257659623193e-12,374103.06588388776
c,1.5092094240998222e-14,374103.06588388776
c,6.938893903907228e-17,374103.06588388776
c,7.28583859910259e-17,374103.06588388776
c,5.254199312437757e-08,374103.06588388776
c,6.141033081358271e-10,374103.06588388776
c,4.560596691960406e-12,374103.06588388776
c,2.5335636366641268e-14,374103.06588388776
c,0,374103.06588388776
c,0,374103.06588388776
c,1.948420678271612e-09,374103.06588388776
c,1.4519760394016146e-11,374103.06588388776
c,6.702190885610193e-14,374103.06588388776
c,1.1449174941446927e-16,374103.06588388776
c,4.2674197509029455e-16,374103.06588388776
c,5.3936959065747914e-11,374103.06588388776
c,2.4997105080304394e-13,374103.06588388776
c,6.071532165918825e-16,374103.06588388776
c,0,374103.06588388776
c,9.963262853629473e-13,374103.06588388776
c,2.6853519408120974e-15,374103.06588388776
c,0,374103.06588388776
c,9.530570777016578e-15,374103.06588388776
c,5.30825383648903e-16,374103.06588388776
t,0.0936273218928754,327340.1826484018
t,0.00817076501494456,327340.1826484018
t,0.0006400325029963117,327340.1826484018
t,4.430193975617572e-05,327340.1826484018
t,2.654681865492392e-06,327340.1826484018
t,1.3389985764958312e-07,327340.1826484018
t,5.458094802512914e-09,327340.1826484018
t,1.6858223844673503e-10,327340.1826484018
t,3.507378415479323e-12,327340.1826484018
t,3.6904507227930594e-14,327340.1826484018
t,0.000608123912822332,327340.1826484018
c,7.900474187447042e-05,327340.1826484018
c,7.144838332076228e-06,327340.1826484018
c,5.246221519521459e-07,327340.1826484018
c,3.22239262435034e-08,327340.1826484018
c,1.6418654309388603e-09,327340.1826484018
c,6.718735377081453e-11,327340.1826484018
c,2.0779463219544603e-12,327340.1826484018
c,4.323559739394245e-14,327340.1826484018
c,5.663872149064275e-16,327340.1826484018
c,0.0003328286499833001,327340.1826484018
c,2.811533750272932e-05,327340.1826484018
c,1.0266013432264076e-06,327340.1826484018
c,3.196533652355393e-08,327340.1826484018
c,8.286473868190924e-10,327340.1826484018
c,1.7212953284939658e-11,327340.1826484018
c,2.6885438320078947e-13,327340.1826484018
c,2.7373936450914016e-15,327340.1826484018
c,0,327340.1826484018
c,3.097967785808779e-05,327340.1826484018
c,1.1601988511480543e-06,327340.1826484018
c,2.4556745613531217e-08,327340.1826484018
c,4.3048563932307493e-10,327340.1826484018
c,6.019900723741589e-12,327340.1826484018
c,6.299127885966982e-14,327340.1826484018
c,1.8735013540549517e-16,327340.1826484018
c,0,327340.1826484018
c,2.087069390045368e-06,327340.1826484018
c,4.47865640407219e-08,327340.1826484018
c,5.949592069010023e-10,327340.1826484018
c,6.285118259174993e-12,327340.1826484018
c,4.9453496853146817e-14,327340.1826484018
c,0.0,327340.1826484018
c,0,327340.1826484018
c,1.1178555350474517e-07,327340.1826484018
c,1.4965127834859482e-09,327340.1826484018
c,1.2718125164123961e-11,327340.1826484018
c,8.029709709644894e-14,327340.1826484018
c,0,327340.1826484018
c,0,327340.1826484018
c,4.715900604052026e-09,327340.1826484018
c,4.023556487986468e-11,327340.1826484018
c,2.1258125468270883e-13,327340.1826484018
c,0,327340.1826484018
c,0,327340.1826484018
c,1.4867728923007029e-10,327340.1826484018
c,7.876234386916536e-13,327340.1826484018
c,1.7728873924482969e-15,327340.1826484018
c,1.457167719820518e-16,327340.1826484018
c,3.130931278128024e-12,327340.1826484018
c,8.604228440844963e-15,327340.1826484018
c,5.551115123125783e-17,327340.1826484018
c,3.2796682036817515e-14,327340.1826484018
c,0,327340.1826484018
t,0.10368560428010773,290969.05124302383
t,0.010081849946235339,290969.05124302383
t,0.0008809009197727428,290969.05124302383
t,6.809125672818661e-05,290969.05124302383
t,4.561747106085479e-06,290969.05124302383
t,2.575528274713357e-07,290969.05124302383
t,1.1765850106704168e-08,290969.05124302383
t,4.077839003968631e-10,290969.05124302383
t,9.532170192061429e-12,290969.05124302383
t,1.1267028976469362e-13,290969.05124302383
t,0.0008328288793339553,290969.05124302383
c,0.00012099478037887537,290969.05124302383
c,1.2231907268044247e-05,290969.05124302383
c,1.0041899004546609e-06,290969.05124302383
c,6.90033055477865e-08,290969.05124302383
c,3.936652045143096e-09,290969.05124302383
c,1.8056341491434758e-10,290969.05124302383
c,6.266558452705517e-12,290969.05124302383
c,1.4655151278717554e-13,290969.05124302383
c,1.6106907474444654e-15,290969.05124302383
c,0.0004607350941384699,290969.05124302383
c,4.38005456179745e-05,290969.05124302383
c,1.7974148333807505e-06,290969.05124302383
c,6.286145157879952e-08,290969.05124302383
c,1.8301724025171495e-09,290969.05124302383
c,4.270613723766914e-11,290969.05124302383
c,7.502054533148339e-13,290969.05124302383
c,8.829742492721948e-15,290969.05124302383
c,1.734723475976807e-18,290969.05124302383
c,4.795105801503122e-05,290969.05124302383
c,2.0242682155996797e-06,290969.05124302383
c,4.82351333198211e-08,290969.05124302383
c,9.512669298106236e-10,290969.05124302383
c,1.496081383778325e-11,290969.05124302383
c,1.7640056082512956e-13,290969.05124302383
c,1.394717674685353e-15,290969.05124302383
c,8.847089727481716e-17,290969.05124302383
c,3.6119119769927738e-06,290969.05124302383
c,8.740396502393555e-08,290969.05124302383
c,1.307855899967958e-09,290969.05124302383
c,1.5552059640100424e-11,290969.05124302383
c,1.3825052214144762e-13,290969.05124302383
c,9.159339953157541e-16,290969.05124302383
c,0,290969.05124302383
c,2.164489333947306e-07,290969.05124302383
c,3.267072320144171e-09,290969.05124302383
c,3.127366421384892e-11,290969.05124302383
c,2.233239634885642e-13,290969.05124302383
c,9.237402509576498e-16,290969.05124302383
c,5.637851296924623e-17,290969.05124302383
c,1.0226119664599742e-08,290969.05124302383
c,9.832466611736645e-11,290969.05124302383
c,5.865984781250333e-13,290969.05124302383
c,2.3314683517128287e-15,290969.05124302383
c,0,290969.05124302383
c,3.6143765064222677e-10,290969.05124302383
c,2.159194698037048e-12,290969.05124302383
c,7.0186911838021615e-15,290969.05124302383
c,0,290969.05124302383
c,8.543492736184932e-12,290969.05124302383
c,2.8976820942716586e-14,290969.05124302383
c,0,290969.05124302383
c,1.0188377919106983e-13,290969.05124302383
c,2.419939248987646e-16,290969.05124302383
t,0.11338022268570458,261872.14611872146
t,0.0121329313873709,261872.14611872146
t,0.001167982698804245,261872.14611872146
t,9.95801496384563e-05,261872.14611872146
t,7.366894057794782e-06,261872.14611872146
t,4.5983596138818306e-07,261872.14611872146
t,2.3252369647785986e-08,261872.14611872146
t,8.931367277698055e-10,261872.14611872146
t,2.3167173041072076e-11,261872.14611872146
t,3.044266227991699e-13,261872.14611872146
t,0.0010990488821915265,261872.14611872146
c,0.0001763648652480486,261872.14611872146
c,1.968626289970514e-05,261872.14611872146
c,1.7847745180188477e-06,261872.14611872146
c,1.3551396710201682e-07,261872.14611872146
c,8.549822379591565e-09,261872.14611872146
c,4.3413517138851665e-10,261872.14611872146
c,1.6699034949968494e-11,261872.14611872146
c,4.332858399326567e-13,261872.14611872146
c,5.649126999518472e-15,261872.14611872146
c,0.0006145112014997647,261872.14611872146
c,6.493081907492024e-05,261872.14611872146
c,2.9575307263288164e-06,261872.14611872146
c,1.1474367943992148e-07,261872.14611872146
c,3.7056115745337515e-09,261872.14611872146
c,9.593322664036563e-11,261872.14611872146
c,1.8701429294054606e-12,261872.14611872146
c,2.4424906541753444e-14,261872.14611872146
c,1.0061396160665481e-16,261872.14611872146
c,7.063390586480728e-05,261872.14611872146
c,3.3195699424021924e-06,261872.14611872146
c,8.794821820291843e-08,261872.14611872146
c,1.927148165006831e-09,261872.14611872146
c,3.366531532711381e-11,261872.14611872146
c,4.4065272264415256e-13,261872.14611872146
c,3.856290287096442e-15,261872.14611872146
c,3.122502256758253e-17,261872.14611872146
c,5.875790978638294e-06,261872.14611872146
c,1.5835490993487689e-07,261872.14611872146
c,2.63598599892223e-09,261872.14611872146
c,3.4845570873187626e-11,261872.14611872146
c,3.440234208618165e-13,261872.14611872146
c,2.4841240175987878e-15,261872.14611872146
c,0,261872.14611872146
c,3.891165869483737e-07,261872.14611872146
c,6.540102357247002e-09,261872.14611872146
c,6.964396073727563e-11,261872.14611872146
c,5.52665552211451e-13,261872.14611872146
c,2.7668839441830073e-15,261872.14611872146
c,0,261872.14611872146
c,2.0334324723168817e-08,261872.14611872146
c,2.1761205337700318e-10,261872.14611872146
c,1.443033192938259e-12,261872.14611872146
c,5.901529265273098e-15,261872.14611872146
c,1.5612511283791264e-16,261872.14611872146
c,7.95804849101911e-10,261872.14611872146
c,5.2867987765381486e-12,261872.14611872146
c,1.9404616802276564e-14,261872.14611872146
c,0,261872.14611872146
c,2.085277436836286e-11,261872.14611872146
c,7.846501226538294e-14,261872.14611872146
c,1.1102230246251565e-16,261872.14611872146
c,2.751202043960177e-13,261872.14611872146
c,3.122502256758253e-16,261872.14611872146
t,0.12271408665881017,238065.58738065587
t,0.014308826456302869,238065.58738065587
t,0.0015025347589538232,238065.58738065587
t,0.00013989151048610093,238065.58738065587
t,1.1314269125761722e-05,238065.58738065587
t,7.729909829723436e-07,238065.58738065587
t,4.283388368997443e-08,238065.58738065587
t,1.8051787321893276e-09,238065.58738065587
t,5.14405323892575e-11,238065.58738065587
t,7.435232984853712e-13,238065.58738065587
t,0.0014075520856180815,238065.58738065587
c,0.0002470061351768169,238065.58738065587
c,3.0140303548250452e-05,238065.58738065587
c,2.987630434172616e-06,238065.58738065587
c,2.4815821831713873e-07,238065.58738065587
c,1.714216186750675e-08,238065.58738065587
c,9.53984096579985e-10,238065.58738065587
c,4.026375196794496e-11,238065.58738065587
c,1.1476878475358276e-12,238065.58738065587
c,1.6608676239870945e-14,238065.58738065587
c,0.000795327453113932,238065.58738065587
c,9.246512798983045e-05,238065.58738065587
c,4.628025757732329e-06,238065.58738065587
c,1.971940635434044e-07,238065.58738065587
c,6.993350940009968e-09,238065.58738065587
c,1.988586587065022e-10,238065.58738065587
c,4.25961349526105e-12,238065.58738065587
c,6.113512474037464e-14,238065.58738065587
c,2.8102520310824275e-16,238065.58738065587
c,9.996343185616e-05,238065.58738065587
c,5.17754229138051e-06,238065.58738065587
c,1.5098785082628963e-07,238065.58738065587
c,3.6392182496680636e-09,238065.58738065587
c,6.990723624977768e-11,238065.58738065587
c,1.0063616606714731e-12,238065.58738065587
c,9.596490269103697e-15,238065.58738065587
c,1.0408340855860843e-17,238065.58738065587
c,9.092292688315899e-06,238065.58738065587
c,2.701646295844018e-07,238065.58738065587
c,4.952755363815675e-09,238065.58738065587
c,7.205599311665978e-11,238065.58738065587
c,7.827731518528225e-13,238065.58738065587
c,5.551115123125783e-15,238065.58738065587
c,0,238065.58738065587
c,6.587756567338898e-07,238065.58738065587
c,1.220583225637617e-08,238065.58738065587
c,1.4314311888585785e-10,238065.58738065587
c,1.2495126461287143e-12,238065.58738065587
c,6.886852199627924e-15,238065.58738065587
c,0,238065.58738065587
c,3.769904560399495e-08,238065.58738065587
c,4.445412683795613e-10,238065.58738065587
c,3.2459451793087624e-12,238065.58738065587
c,1.569577801063815e-14,238065.58738065587
c,2.0816681711721685e-17,238065.58738065587
c,1.6173502849492483e-09,238065.58738065587
c,1.1832286886392929e-11,238065.58738065587
c,4.8645115713341625e-14,238065.58738065587
c,8.500145032286355e-17,238065.58738065587
c,4.651041357606189e-11,238065.58738065587
c,1.9283186158958188e-13,238065.58738065587
c,0,238065.58738065587
c,6.746686542768998e-13,238065.58738065587
c,1.420738526825005e-15,238065.58738065587
t,0.1316907385111313,218226.78843226787
t,0.016595121124466893,218226.78843226787
t,0.0018852847676146221,218226.78843226787
t,0.00019010476034382606,218226.78843226787
t,1.6671082984157093e-05,218226.78843226787
t,1.236367981279074e-06,218226.78843226787
t,7.445803827665909e-08,218226.78843226787
t,3.414483844971228e-09,218226.78843226787
t,1.060077511882973e-10,218226.78843226787
t,1.6715205608530681e-12,218226.78843226787
t,0.0017586455673425719,218226.78843226787
c,0.0003347293917825879,218226.78843226787
c,4.428406874239059e-05,218226.78843226787
c,4.7600004441763e-06,218226.78843226787
c,4.289678464900349e-07,218226.78843226787
c,3.217615464909743e-08,218226.78843226787
c,1.9463483689335925e-09,218226.78843226787
c,8.939193005610968e-11,218226.78843226787
c,2.776345993382723e-12,218226.78843226787
c,4.376707329889484e-14,218226.78843226787
c,0.0010041092385476768,218226.78843226787
c,0.00012738058642686526,218226.78843226787
c,6.947862716974451e-06,218226.78843226787
c,3.224361947856691e-07,218226.78843226787
c,1.2453549545765608e-08,218226.78843226787
c,3.8574415189840394e-10,218226.78843226787
c,9.004096079845425e-12,218226.78843226787
c,1.4097750744568316e-13,218226.78843226787
c,1.0685896612017132e-15,218226.78843226787
c,0.00013687466435041706,218226.78843226787
c,7.748110443312611e-06,218226.78843226787
c,2.466446112139864e-07,218226.78843226787
c,6.4849316385590106e-09,218226.78843226787
c,1.3584993026338754e-10,218226.78843226787
c,2.1328199623082966e-12,218226.78843226787
c,2.2398749521812533e-14,218226.78843226787
c,8.326672684688674e-17,218226.78843226787
c,1.3500806035306699e-05,218226.78843226787
c,4.386158781594096e-07,218226.78843226787
c,8.782020713068994e-09,218226.78843226787
c,1.3945028118356184e-10,218226.78843226787
c,1.6527786084186147e-12,218226.78843226787
c,1.3128387266192476e-14,218226.78843226787
c,0,218226.78843226787
c,1.0614282417789611e-06,218226.78843226787
c,2.14995780380145e-08,218226.78843226787
c,2.753765011159759e-10,218226.78843226787
c,2.624725523731053e-12,218226.78843226787
c,1.633242152632164e-14,218226.78843226787
c,0,218226.78843226787
c,6.59682639590764e-08,218226.78843226787
c,8.500314931103592e-10,218226.78843226787
c,6.777162164794959e-12,218226.78843226787
c,3.5409175591638586e-14,218226.78843226787
c,3.3306690738754696e-16,218226.78843226787
c,3.0768684891602227e-09,218226.78843226787
c,2.4582674437723107e-11,218226.78843226787
c,1.111090386363145e-13,218226.78843226787
c,2.671474153004283e-16,218226.78843226787
c,9.630489461454061e-11,218226.78843226787
c,4.356237592872958e-13,218226.78843226787
c,7.216449660063518e-16,218226.78843226787
c,1.521782699853702e-12,218226.78843226787
c,3.793840241961277e-15,218226.78843226787
t,0.1403142808374241,201440.1123990165
t,0.018978157778064483,201440.1123990165
t,0.002316487458014549,201440.1123990165
t,0.0002512414342276878,201440.1123990165
t,2.3723972578874875e-05,201440.1123990165
t,1.8966689051269636e-06,201440.1123990165
t,1.2327808424777986e-07,201440.1123990165
t,6.1088073211035265e-09,201440.1123990165
t,2.0519620377856818e-10,201440.1123990165
t,3.5051649083239766e-12,201440.1123990165
t,0.0021522352877688944,201440.1123990165
c,0.0004412438415496711,201440.1123990165
c,6.285623137008978e-05,201440.1123990165
c,7.275893970172358e-06,201440.1123990165
c,7.065003503548472e-07,201440.1123990165
c,5.714528244962075e-08,201440.1123990165
c,3.7312856463432575e-09,201440.1123990165
c,1.8518954121929387e-10,201440.1123990165
c,6.223116206377499e-12,201440.1123990165
c,1.0615336734631775e-13,201440.1123990165
c,0.001241557818220029,201440.1123990165
c,0.0001706621112894085,201440.1123990165
c,1.0073583969084227e-05,201440.1123990165
c,5.05643884998741e-07,201440.1123990165
c,2.1121620341624237e-08,201440.1123990165
c,7.077104735575546e-10,201440.1123990165
c,1.787645725892517e-11,201440.1123990165
c,3.030631301470521e-13,201440.1123990165
c,2.5049406993105094e-15,201440.1123990165
c,0.0001822921815081216,201440.1123990165
c,1.1199161730281876e-05,201440.1123990165
c,3.864392054270249e-07,201440.1123990165
c,1.1006522875403602e-08,201440.1123990165
c,2.4969731490798175e-10,201440.1123990165
c,4.244948142995142e-12,201440.1123990165
c,4.819582233306363e-14,201440.1123990165
c,3.174543961037557e-16,201440.1123990165
c,1.9364735040216206e-05,201440.1123990165
c,6.830672359681156e-07,201440.1123990165
c,1.4832968363992505e-08,201440.1123990165
c,2.552832806257399e-10,201440.1123990165
c,3.277982052463102e-12,201440.1123990165
c,2.8047009159593017e-14,201440.1123990165
c,0,201440.1123990165
c,1.6406004792607343e-06,201440.1123990165
c,3.6075621316199874e-08,201440.1123990165
c,5.011519497999384e-10,201440.1123990165
c,5.1770740472356636e-12,201440.1123990165
c,3.5323306779577734e-14,201440.1123990165
c,1.3877787807814457e-16,201440.1123990165
c,1.0997277767252345e-07,201440.1123990165
c,1.5376944613454402e-09,201440.1123990165
c,1.3293116607471234e-11,201440.1123990165
c,7.587680483922554e-14,201440.1123990165
c,3.8510861166685117e-16,201440.1123990165
c,5.537834794899776e-09,201440.1123990165
