scale,throughput,load,collision,lost
0.0045,59672.937,581938.1,96.430887,0
0.0045,69535.864,581938.1,92.703988,0
0.0045,61612.886,581938.1,94.822219,0
0.0045,67311.129,581938.1,94.542956,0
0.0045,55964.76,581938.1,96.996614,0
0.0045,63379.368,581938.1,96.092664,0
0.0045,65504.899,581938.1,93.196203,0
0.0045,64636.427,581938.1,96.115341,0
0.0045,75598.849,581938.1,96.327038,0
0.0045,64795.529,581938.1,95.249246,0
0.0045,52309.406,581938.1,95.321427,0
0.0045,69797.361,581938.1,95.697629,0
0.0045,63565.714,581938.1,95.79404,0
0.0045,86127.62,581938.1,93.73252,0
0.0045,52813.614,581938.1,95.890979,0
0.0045,63138.429,581938.1,97.353508,0
0.0045,56111.814,581938.1,94.260734,0
0.0045,54297.464,581938.1,92.957165,0
0.0045,61773.648,581938.1,96.353267,0
0.0045,81619.256,581938.1,91.924719,0
0.0045,62324.052,581938.1,94.365281,0
0.0045,64916.182,581938.1,96.950724,0
0.0045,74896.802,581938.1,95.670226,0
0.0045,57166.469,581938.1,95.622978,0
0.0045,70400.209,581938.1,94.328657,0
0.0045,50158.502,581938.1,95.260263,0
0.0045,65487.105,581938.1,93.866352,0
0.0045,49121.81,581938.1,96.166458,0
0.0045,63970.938,581938.1,95.1926,0
0.0045,50855.321,581938.1,96.304471,0
0.0045,62508.848,581938.1,94.242333,0
0.0045,72681.088,581938.1,94.71527,0
0.0045,65350.267,581938.1,93.19732,0
0.0045,51825.829,581938.1,96.263631,0
0.0045,48872.955,581938.1,95.525165,0
0.0045,45309.426,581938.1,95.778712,0
0.0045,72035.854,581938.1,93.411755,0
0.0045,57280.86,581938.1,95.802471,0
0.0045,65423.752,581938.1,94.618913,0
0.0045,59821.825,581938.1,97.547781,0
0.0045,68741.211,581938.1,94.531157,0
0.0045,50540.522,581938.1,95.262104,0
0.0045,42800.591,581938.1,96.676583,0
0.0045,62663.073,581938.1,93.743793,0
0.0045,68107.254,581938.1,95.4163,0
0.0045,63265.78,581938.1,94.065451,0
0.0045,60890.123,581938.1,95.221244,0
0.0045,63765.278,581938.1,93.581745,0
0.0045,70836.448,581938.1,89.302191,0
0.0045,56972.694,581938.1,96.394211,0
0.0045,53346.229,581938.1,94.79278,0
0.0045,75830.891,581938.1,94.003501,0
0.0045,54219.053,581938.1,97.567313,0
0.0045,55480.351,581938.1,95.587197,0
0.0045,73421.019,581938.1,93.339652,0
0.0045,61696.155,581938.1,94.719292,0
0.0045,68186.544,581938.1,94.439782,0
0.0045,56854.252,581938.1,95.113279,0
0.0045,74015.555,581938.1,92.395768,0
0.0045,59265.977,581938.1,93.788916,0
0.0045,52806.517,581938.1,94.576935,0
0.0045,85082.073,581938.1,93.435495,0
0.0045,63806.202,581938.1,94.67327,0
0.0045,66727.154,581938.1,95.493779,0
0.0045,57733.806,581938.1,95.387182,0
0.0045,52111.954,581938.1,97.086297,0
0.0045,49430.382,581938.1,95.506354,0
0.0045,61925.888,581938.1,95.976957,0
0.0045,72356.999,581938.1,93.992008,0
0.0045,58865.609,581938.1,92.489157,0
0.0045,73373.382,581938.1,93.831557,0
0.0045,72936.841,581938.1,95.368967,0
0.0045,68206.029,581938.1,91.85717,0
0.0045,58721.306,581938.1,96.104162,0
0.0045,71620.505,581938.1,94.471054,0
0.0045,51398.03,581938.1,96.002871,0
0.0045,60275.375,581938.1,94.092485,0
0.0045,64235,581938.1,94.116355,0
0.0045,84043.562,581938.1,94.345735,0
0.0045,60540.202,581938.1,96.840722,0
0.0045,54661.872,581938.1,94.167976,0
0.0045,58586.594,581938.1,94.880395,0
0.0045,71948.531,581938.1,92.525225,0
0.0045,75472.042,581938.1,95.509618,0
0.0048,70260.606,545566.97,92.737527,0
0.0048,70517.79,545566.97,92.950292,0
0.0048,54099.531,545566.97,94.70645,0
0.0048,62506.737,545566.97,94.501346,0
0.0048,60424.994,545566.97,95.917944,0
0.0048,63986.932,545566.97,92.609639,0
0.0048,65132.181,545566.97,94.560313,0
0.0048,56729.231,545566.97,96.723551,0
0.0048,72738.935,545566.97,92.289604,0
0.0048,79579.032,545566.97,92.797391,0
0.0048,66370.473,545566.97,91.334343,0
0.0048,69162.317,545566.97,94.68012,0
0.0048,51047.287,545566.97,94.0063,0
0.0048,71922.149,545566.97,92.591821,0
0.0048,59408.154,545566.97,95.7809,0
0.0048,66893.096,545566.97,94.176129,0
0.0048,66415.843,545566.97,95.731369,0
0.0048,68741.557,545566.97,90.439316,0
0.0048,60107.18,545566.97,95.189585,0
0.0048,65685.668,545566.97,94.408414,0
0.0048,67361.23,545566.97,95.844338,0
0.0048,65609.754,545566.97,92.742365,0
0.0048,60366.168,545566.97,92.961056,0
0.0048,69872.903,545566.97,94.872005,0
0.0048,71968.073,545566.97,96.25837,0
0.0048,70721.038,545566.97,92.111368,0
0.0048,60047.272,545566.97,94.943269,0
0.0048,73650.578,545566.97,94.392217,0
0.0048,73713.7,545566.97,94.715585,0
0.0048,84598.05,545566.97,93.262151,0
0.0048,53774.588,545566.97,96.125329,0
0.0048,62866.302,545566.97,96.300957,0
0.0048,70122.893,545566.97,94.353221,0
0.0048,55224.945,545566.97,92.044034,0
0.0048,75937.793,545566.97,94.103657,0
0.0048,88552.188,545566.97,90.954271,0
0.0048,60944.189,545566.97,93.721595,0
